snt_name,snt_borough,theft_count
Heathrow Airport,Aviation Security(SO18),368
Heathrow Terminal 2,Aviation Security(SO18),277
Heathrow Terminal 3,Aviation Security(SO18),233
Heathrow Terminal 4,Aviation Security(SO18),8
Heathrow Terminal 5,Aviation Security(SO18),539
Abbey,Barking and Dagenham,1189
Abbey,Barking and Dagenham,1177
Abbey,Barking and Dagenham,1183
Abbey,Barking and Dagenham,1171
Abbey,Barking and Dagenham,939
Abbey,Barking and Dagenham,927
Abbey,Barking and Dagenham,933
Abbey,Barking and Dagenham,921
Abbey,Barking and Dagenham,1105
Abbey,Barking and Dagenham,1093
Abbey,Barking and Dagenham,1099
Abbey,Barking and Dagenham,1087
Abbey,Barking and Dagenham,855
Abbey,Barking and Dagenham,843
Abbey,Barking and Dagenham,849
Abbey,Barking and Dagenham,837
Abbey,Barking and Dagenham,1180
Abbey,Barking and Dagenham,1168
Abbey,Barking and Dagenham,1174
Abbey,Barking and Dagenham,1162
Abbey,Barking and Dagenham,930
Abbey,Barking and Dagenham,918
Abbey,Barking and Dagenham,924
Abbey,Barking and Dagenham,912
Abbey,Barking and Dagenham,1096
Abbey,Barking and Dagenham,1084
Abbey,Barking and Dagenham,1090
Abbey,Barking and Dagenham,1078
Abbey,Barking and Dagenham,846
Abbey,Barking and Dagenham,834
Abbey,Barking and Dagenham,840
Abbey,Barking and Dagenham,828
Abbey,Barking and Dagenham,1150
Abbey,Barking and Dagenham,1138
Abbey,Barking and Dagenham,1144
Abbey,Barking and Dagenham,1132
Abbey,Barking and Dagenham,900
Abbey,Barking and Dagenham,888
Abbey,Barking and Dagenham,894
Abbey,Barking and Dagenham,882
Abbey,Barking and Dagenham,1066
Abbey,Barking and Dagenham,1054
Abbey,Barking and Dagenham,1060
Abbey,Barking and Dagenham,1048
Abbey,Barking and Dagenham,816
Abbey,Barking and Dagenham,804
Abbey,Barking and Dagenham,810
Abbey,Barking and Dagenham,798
Abbey,Barking and Dagenham,1141
Abbey,Barking and Dagenham,1129
Abbey,Barking and Dagenham,1135
Abbey,Barking and Dagenham,1123
Abbey,Barking and Dagenham,891
Abbey,Barking and Dagenham,879
Abbey,Barking and Dagenham,885
Abbey,Barking and Dagenham,873
Abbey,Barking and Dagenham,1057
Abbey,Barking and Dagenham,1045
Abbey,Barking and Dagenham,1051
Abbey,Barking and Dagenham,1039
Abbey,Barking and Dagenham,807
Abbey,Barking and Dagenham,795
Abbey,Barking and Dagenham,801
Abbey,Barking and Dagenham,789
Abbey,Barking and Dagenham,936
Abbey,Barking and Dagenham,924
Abbey,Barking and Dagenham,930
Abbey,Barking and Dagenham,918
Abbey,Barking and Dagenham,686
Abbey,Barking and Dagenham,674
Abbey,Barking and Dagenham,680
Abbey,Barking and Dagenham,668
Abbey,Barking and Dagenham,852
Abbey,Barking and Dagenham,840
Abbey,Barking and Dagenham,846
Abbey,Barking and Dagenham,834
Abbey,Barking and Dagenham,602
Abbey,Barking and Dagenham,590
Abbey,Barking and Dagenham,596
Abbey,Barking and Dagenham,584
Abbey,Barking and Dagenham,927
Abbey,Barking and Dagenham,915
Abbey,Barking and Dagenham,921
Abbey,Barking and Dagenham,909
Abbey,Barking and Dagenham,677
Abbey,Barking and Dagenham,665
Abbey,Barking and Dagenham,671
Abbey,Barking and Dagenham,659
Abbey,Barking and Dagenham,843
Abbey,Barking and Dagenham,831
Abbey,Barking and Dagenham,837
Abbey,Barking and Dagenham,825
Abbey,Barking and Dagenham,593
Abbey,Barking and Dagenham,581
Abbey,Barking and Dagenham,587
Abbey,Barking and Dagenham,575
Abbey,Barking and Dagenham,897
Abbey,Barking and Dagenham,885
Abbey,Barking and Dagenham,891
Abbey,Barking and Dagenham,879
Abbey,Barking and Dagenham,647
Abbey,Barking and Dagenham,635
Abbey,Barking and Dagenham,641
Abbey,Barking and Dagenham,629
Abbey,Barking and Dagenham,813
Abbey,Barking and Dagenham,801
Abbey,Barking and Dagenham,807
Abbey,Barking and Dagenham,795
Abbey,Barking and Dagenham,563
Abbey,Barking and Dagenham,551
Abbey,Barking and Dagenham,557
Abbey,Barking and Dagenham,545
Abbey,Barking and Dagenham,888
Abbey,Barking and Dagenham,876
Abbey,Barking and Dagenham,882
Abbey,Barking and Dagenham,870
Abbey,Barking and Dagenham,638
Abbey,Barking and Dagenham,626
Abbey,Barking and Dagenham,632
Abbey,Barking and Dagenham,620
Abbey,Barking and Dagenham,804
Abbey,Barking and Dagenham,792
Abbey,Barking and Dagenham,798
Abbey,Barking and Dagenham,786
Abbey,Barking and Dagenham,554
Abbey,Barking and Dagenham,542
Abbey,Barking and Dagenham,548
Abbey,Barking and Dagenham,536
Alibon,Barking and Dagenham,251
Becontree,Barking and Dagenham,284
Chadwell Heath,Barking and Dagenham,295
Eastbrook,Barking and Dagenham,225
Eastbury,Barking and Dagenham,300
Gascoigne,Barking and Dagenham,437
Goresbrook,Barking and Dagenham,270
Heath,Barking and Dagenham,311
Longbridge,Barking and Dagenham,262
Mayesbrook,Barking and Dagenham,270
Parsloes,Barking and Dagenham,161
River,Barking and Dagenham,320
Thames,Barking and Dagenham,735
Valence,Barking and Dagenham,260
Village,Barking and Dagenham,350
Village,Barking and Dagenham,353
Village,Barking and Dagenham,350
Village,Barking and Dagenham,353
Village,Barking and Dagenham,319
Village,Barking and Dagenham,322
Village,Barking and Dagenham,319
Village,Barking and Dagenham,322
Village,Barking and Dagenham,372
Village,Barking and Dagenham,375
Village,Barking and Dagenham,372
Village,Barking and Dagenham,375
Village,Barking and Dagenham,341
Village,Barking and Dagenham,344
Village,Barking and Dagenham,341
Village,Barking and Dagenham,344
Village,Barking and Dagenham,354
Village,Barking and Dagenham,357
Village,Barking and Dagenham,354
Village,Barking and Dagenham,357
Village,Barking and Dagenham,323
Village,Barking and Dagenham,326
Village,Barking and Dagenham,323
Village,Barking and Dagenham,326
Village,Barking and Dagenham,376
Village,Barking and Dagenham,379
Village,Barking and Dagenham,376
Village,Barking and Dagenham,379
Village,Barking and Dagenham,345
Village,Barking and Dagenham,348
Village,Barking and Dagenham,345
Village,Barking and Dagenham,348
Village,Barking and Dagenham,307
Village,Barking and Dagenham,310
Village,Barking and Dagenham,307
Village,Barking and Dagenham,310
Village,Barking and Dagenham,276
Village,Barking and Dagenham,279
Village,Barking and Dagenham,276
Village,Barking and Dagenham,279
Village,Barking and Dagenham,329
Village,Barking and Dagenham,332
Village,Barking and Dagenham,329
Village,Barking and Dagenham,332
Village,Barking and Dagenham,298
Village,Barking and Dagenham,301
Village,Barking and Dagenham,298
Village,Barking and Dagenham,301
Village,Barking and Dagenham,311
Village,Barking and Dagenham,314
Village,Barking and Dagenham,311
Village,Barking and Dagenham,314
