"snt_name","snt_borough","burglary_count"
"Heathrow Airport","Aviation Security(SO18)",11
"Heathrow Terminal 2","Aviation Security(SO18)",8
"Heathrow Terminal 3","Aviation Security(SO18)",5
"Heathrow Terminal 4","Aviation Security(SO18)",0
"Heathrow Terminal 5","Aviation Security(SO18)",2
"Abbey","Barking and Dagenham",130
"Abbey","Merton",164
"Abbey","Barking and Dagenham",83
"Abbey","Merton",117
"Alibon","Barking and Dagenham",75
"Becontree","Barking and Dagenham",95
"Chadwell Heath","Barking and Dagenham",76
"Eastbrook","Barking and Dagenham",79
"Eastbury","Barking and Dagenham",97
"Gascoigne","Barking and Dagenham",75
"Goresbrook","Barking and Dagenham",98
"Heath","Barking and Dagenham",66
"Longbridge","Barking and Dagenham",109
"Mayesbrook","Barking and Dagenham",76
"Parsloes","Barking and Dagenham",50
"River","Barking and Dagenham",118
"Thames","Barking and Dagenham",126
"Valence","Barking and Dagenham",88
"Village","Barking and Dagenham",107
"Village","Merton",140
"Village","Barking and Dagenham",108
"Village","Merton",141
"Whalebone","Barking and Dagenham",92
"Brunswick Park","Barnet",132
"Burnt Oak","Barnet",170
"Childs Hill","Barnet",292
"Colindale","Barnet",153
"Coppetts","Barnet",153
"East Barnet","Barnet",143
"East Finchley","Barnet",126
"Edgware","Barnet",160
"Edgware","Harrow",131
"Edgware","Barnet",131
"Edgware","Harrow",102
"Finchley Church End","Barnet",153
"Garden Suburb","Barnet",186
"Golders Green","Barnet",213
"Hale","Barnet",152
"Hendon","Barnet",231
"High Barnet","Barnet",188
"Mill Hill","Barnet",195
"Oakleigh","Barnet",180
"Totteridge","Barnet",178
"Underhill","Barnet",158
"West Finchley","Barnet",148
"West Hendon","Barnet",199
"Woodhouse","Barnet",165
"Barnehurst","Bexley",47
"Belvedere","Bexley",153
"Bexleyheath","Bexley",127
"Blackfen and Lamorbey","Bexley",107
"Blendon and Penhill","Bexley",94
"Crayford","Bexley",115
"Crook Log","Bexley",113
"East Wickham","Bexley",99
"Erith","Bexley",127
"Falconwood and Welling","Bexley",115
"Longlands","Bexley",84
"Northumberland Heath","Bexley",76
"Sidcup","Bexley",124
"Slade Green and Northend","Bexley",116
"St Mary's and St James","Bexley",99
"Thamesmead East","Bexley",96
"West Heath","Bexley",70
"Alperton","Brent",92
"Barnhill","Brent",99
"Barnhill","Hillingdon",130
"Barnhill","Brent",104
"Barnhill","Hillingdon",135
"Brondesbury Park","Brent",140
"Dollis Hill","Brent",133
"Dudden Hill","Brent",128
"Fryent","Brent",103
"Harlesden","Brent",118
"Kensal Green","Brent",138
"Kenton","Brent",104
"Kilburn","Brent",171
"Kilburn","Camden",103
"Kilburn","Brent",198
"Kilburn","Camden",130
"Mapesbury","Brent",210
"Northwick Park","Brent",105
"Preston","Brent",118
"Queens Park","Brent",162
"Queensbury","Brent",139
"Queensbury","Harrow",123
"Queensbury","Brent",114
"Queensbury","Harrow",98
"Stonebridge","Brent",161
"Sudbury","Brent",67
"Tokyngton","Brent",142
"Welsh Harp","Brent",145
"Wembley Central","Brent",79
"Willesden Green","Brent",129
"Bickley","Bromley",125
"Biggin Hill","Bromley",50
"Bromley Common and Keston","Bromley",109
"Bromley Town","Bromley",235
"Chelsfield and Pratts Bottom","Bromley",106
"Chislehurst","Bromley",202
"Clock House","Bromley",133
"Copers Cope","Bromley",159
"Cray Valley East","Bromley",190
"Cray Valley West","Bromley",138
"Crystal Palace","Bromley",139
"Darwin","Bromley",49
"Farnborough and Crofton","Bromley",86
"Hayes and Coney Hall","Bromley",87
"Kelsey and Eden Park","Bromley",164
"Mottingham and Chislehurst North","Bromley",76
"Orpington","Bromley",193
"Penge and Cator","Bromley",192
"Petts Wood and Knoll","Bromley",102
"Plaistow and Sundridge","Bromley",104
"Shortlands","Bromley",46
"West Wickham","Bromley",81
"Belsize","Camden",138
"Bloomsbury","Camden",397
"Camden Town with Primrose Hill","Camden",251
"Cantelowes","Camden",145
"Fortune Green","Camden",108
"Frognal and Fitzjohns","Camden",152
"Gospel Oak","Camden",122
"Hampstead Town","Camden",159
"Haverstock","Camden",124
"Highgate","Camden",136
"Highgate","Haringey",177
"Highgate","Camden",124
"Highgate","Haringey",165
"Holborn and Covent Garden","Camden",511
"Kentish Town","Camden",122
"Kilburn","Brent",174
"Kilburn","Camden",106
"Kilburn","Brent",201
"Kilburn","Camden",133
"King's Cross","Camden",233
"Regent's Park","Camden",199
"Regent's Park","Westminster",146
"Regent's Park","Camden",138
"Regent's Park","Westminster",85
"St Pancras and Somers Town","Camden",129
"Swiss Cottage","Camden",165
"West Hampstead","Camden",178
"Addiscombe East","Croydon",103
"Addiscombe West","Croydon",89
"Bensham Manor","Croydon",104
"Broad Green","Croydon",160
"Coulsdon Town","Croydon",75
"Crystal Palace and Upper Norwood","Croydon",137
"Fairfield","Croydon",235
"Fairfield","Wandsworth",225
"Fairfield","Croydon",145
"Fairfield","Wandsworth",135
"Kenley","Croydon",70
"New Addington North","Croydon",30
"New Addington South","Croydon",74
"Norbury Park","Croydon",83
