snt_name,snt_borough,theft_count
Heathrow Airport,Aviation Security(SO18),360
Heathrow Terminal 2,Aviation Security(SO18),276
Heathrow Terminal 3,Aviation Security(SO18),229
Heathrow Terminal 4,Aviation Security(SO18),8
Heathrow Terminal 5,Aviation Security(SO18),536
Abbey,Barking and Dagenham,1159
Abbey,Barking and Dagenham,909
Abbey,Barking and Dagenham,1075
Abbey,Barking and Dagenham,825
Abbey,Barking and Dagenham,1150
Abbey,Barking and Dagenham,900
Abbey,Barking and Dagenham,1066
Abbey,Barking and Dagenham,816
Abbey,Barking and Dagenham,1120
Abbey,Barking and Dagenham,870
Abbey,Barking and Dagenham,1036
Abbey,Barking and Dagenham,786
Abbey,Barking and Dagenham,1111
Abbey,Barking and Dagenham,861
Abbey,Barking and Dagenham,1027
Abbey,Barking and Dagenham,777
Abbey,Barking and Dagenham,906
Abbey,Barking and Dagenham,656
Abbey,Barking and Dagenham,822
Abbey,Barking and Dagenham,572
Abbey,Barking and Dagenham,897
Abbey,Barking and Dagenham,647
Abbey,Barking and Dagenham,813
Abbey,Barking and Dagenham,563
Abbey,Barking and Dagenham,867
Abbey,Barking and Dagenham,617
Abbey,Barking and Dagenham,783
Abbey,Barking and Dagenham,533
Abbey,Barking and Dagenham,858
Abbey,Barking and Dagenham,608
Abbey,Barking and Dagenham,774
Abbey,Barking and Dagenham,524
Alibon,Barking and Dagenham,241
Becontree,Barking and Dagenham,271
Chadwell Heath,Barking and Dagenham,279
Eastbrook,Barking and Dagenham,205
Eastbury,Barking and Dagenham,277
Gascoigne,Barking and Dagenham,411
Goresbrook,Barking and Dagenham,254
Heath,Barking and Dagenham,301
Longbridge,Barking and Dagenham,251
Mayesbrook,Barking and Dagenham,253
Parsloes,Barking and Dagenham,153
River,Barking and Dagenham,288
Thames,Barking and Dagenham,703
Valence,Barking and Dagenham,255
Village,Barking and Dagenham,325
Village,Barking and Dagenham,294
Village,Barking and Dagenham,347
Village,Barking and Dagenham,316
Village,Barking and Dagenham,329
Village,Barking and Dagenham,298
Village,Barking and Dagenham,351
Village,Barking and Dagenham,320
Village,Barking and Dagenham,282
Village,Barking and Dagenham,251
Village,Barking and Dagenham,304
Village,Barking and Dagenham,273
Village,Barking and Dagenham,286
Village,Barking and Dagenham,255
Village,Barking and Dagenham,308
Village,Barking and Dagenham,277
Village,Barking and Dagenham,308
Village,Barking and Dagenham,277
Village,Barking and Dagenham,330
Village,Barking and Dagenham,299
Village,Barking and Dagenham,312
Village,Barking and Dagenham,281
Village,Barking and Dagenham,334
Village,Barking and Dagenham,303
Village,Barking and Dagenham,265
Village,Barking and Dagenham,234
Village,Barking and Dagenham,287
Village,Barking and Dagenham,256
Village,Barking and Dagenham,269
Village,Barking and Dagenham,238
Village,Barking and Dagenham,291
Village,Barking and Dagenham,260
Whalebone,Barking and Dagenham,315
Brunswick Park,Barnet,443
Burnt Oak,Barnet,404
Childs Hill,Barnet,902
Colindale,Barnet,569
Coppetts,Barnet,661
East Barnet,Barnet,389
East Finchley,Barnet,394
Edgware,Barnet,781
Edgware,Barnet,717
Edgware,Barnet,734
Edgware,Barnet,670
Edgware,Barnet,770
Edgware,Barnet,706
Edgware,Barnet,723
Edgware,Barnet,659
Edgware,Barnet,757
Edgware,Barnet,693
Edgware,Barnet,710
Edgware,Barnet,646
Edgware,Barnet,746
Edgware,Barnet,682
Edgware,Barnet,699
Edgware,Barnet,635
Edgware,Barnet,700
Edgware,Barnet,636
Edgware,Barnet,653
Edgware,Barnet,589
Edgware,Barnet,689
Edgware,Barnet,625
Edgware,Barnet,642
Edgware,Barnet,578
Edgware,Barnet,676
Edgware,Barnet,612
Edgware,Barnet,629
Edgware,Barnet,565
Edgware,Barnet,665
Edgware,Barnet,601
Edgware,Barnet,618
Edgware,Barnet,554
Finchley Church End,Barnet,376
Garden Suburb,Barnet,582
Golders Green,Barnet,659
Hale,Barnet,331
Hendon,Barnet,551
High Barnet,Barnet,540
Mill Hill,Barnet,705
Oakleigh,Barnet,430
Totteridge,Barnet,346
Underhill,Barnet,314
West Finchley,Barnet,577
West Hendon,Barnet,1434
Woodhouse,Barnet,731
Barnehurst,Bexley,166
Belvedere,Bexley,526
Bexleyheath,Bexley,714
Blackfen and Lamorbey,Bexley,199
Blendon and Penhill,Bexley,286
Crayford,Bexley,490
Crook Log,Bexley,231
East Wickham,Bexley,238
Erith,Bexley,561
Falconwood and Welling,Bexley,384
Longlands,Bexley,158
Northumberland Heath,Bexley,223
Sidcup,Bexley,403
Slade Green and Northend,Bexley,339
St Mary's and St James,Bexley,248
Thamesmead East,Bexley,361
West Heath,Bexley,220
Alperton,Brent,397
Barnhill,Brent,455
Barnhill,Brent,405
Barnhill,Brent,464
Barnhill,Brent,414
Barnhill,Brent,450
Barnhill,Brent,400
Barnhill,Brent,459
Barnhill,Brent,409
Barnhill,Brent,434
Barnhill,Brent,384
Barnhill,Brent,443
Barnhill,Brent,393
Barnhill,Brent,429
Barnhill,Brent,379
Barnhill,Brent,438
Barnhill,Brent,388
Barnhill,Brent,444
Barnhill,Brent,394
Barnhill,Brent,453
Barnhill,Brent,403
Barnhill,Brent,439
Barnhill,Brent,389
Barnhill,Brent,448
Barnhill,Brent,398
Barnhill,Brent,423
Barnhill,Brent,373
Barnhill,Brent,432
Barnhill,Brent,382
Barnhill,Brent,418
Barnhill,Brent,368
Barnhill,Brent,427
Barnhill,Brent,377
Brondesbury Park,Brent,345
Dollis Hill,Brent,424
Dudden Hill,Brent,446
Fryent,Brent,330
Harlesden,Brent,492
Kensal Green,Brent,410
Kenton,Brent,244
Kilburn,Brent,519
Kilburn,Brent,635
Kilburn,Brent,473
Kilburn,Brent,589
Kilburn,Brent,522
Kilburn,Brent,638
Kilburn,Brent,476
Kilburn,Brent,592
Kilburn,Brent,516
Kilburn,Brent,632
Kilburn,Brent,470
Kilburn,Brent,586
Kilburn,Brent,519
Kilburn,Brent,635
Kilburn,Brent,473
Kilburn,Brent,589
Kilburn,Brent,548
Kilburn,Brent,664
Kilburn,Brent,502
Kilburn,Brent,618
Kilburn,Brent,551
Kilburn,Brent,667
Kilburn,Brent,505
Kilburn,Brent,621
Kilburn,Brent,545
Kilburn,Brent,661
Kilburn,Brent,499
Kilburn,Brent,615
Kilburn,Brent,548
Kilburn,Brent,664
Kilburn,Brent,502
Kilburn,Brent,618
Mapesbury,Brent,445
Northwick Park,Brent,281
Preston,Brent,285
Queens Park,Brent,540
Queensbury,Brent,636
Queensbury,Brent,507
Queensbury,Brent,509
Queensbury,Brent,380
Queensbury,Brent,626
Queensbury,Brent,497
Queensbury,Brent,499
Queensbury,Brent,370
Queensbury,Brent,601
Queensbury,Brent,472
Queensbury,Brent,474
Queensbury,Brent,345
